"benchmarkCompanyId","domainKey","company","targetDomain","machineIdentity","machinePrimaryBusiness","machineProductsServices","machineBusinessModel","machineIndustry","machineCommercialRole","machineWho","humanReviewAction","humanIdentity","humanCommercialRole","humanCommercialRoleConfidence","humanWho","humanWhoConfidence","humanGroundTruthStatus","humanReviewReason","reviewer","reviewedAt","goldVersion"
"c5a70b95-1302-4fa3-9e96-8ee6c6d18926","DIGIPUUSH","Grownob LLC","grownob.com","CORRECT","Grownob LLC is a B2B outbound infrastructure agency that provides ICP research, lead database building, email infrastructure setup, and cold outreach campaigns.","""ICP Research, Lead Database Building, Email Infrastructure Setup, Cold Outreach Campaigns, Sales Automation, Buying Signal Intelligence.""","B2B Services / Agency","Marketing Services / Professional Services","POTENTIAL_BUYER","LIKELY_NOT_FIT","APPROVE","CORRECT","POTENTIAL_BUYER","HIGH","LIKELY_NOT_FIT","HIGH","GROUND_TRUTH_CONFIRMED","Valid potential buyer for DigiPuush AI Visibility/AEO/GEO, but fails the mandatory India geography requirement because the company is US-based.","Anil Gorraladaku","2026-09-02","JYRA_MARKET_QUALITY_GOLD_V1"
"6594cacd-e2a9-4803-ba7a-e166b8da7489","DIGIPUUSH","Lead Made Easy","leadmadeeasy.com","CORRECT","Lead Made Easy provides B2B lead generation solutions, including appointment setting, cold email outreach, LinkedIn lead generation, and AI calling.","""B2B Appointment Setting, Cold Email Outreach, LinkedIn Lead Generation, AI Calling, Lead Research, Account Based Marketing, Performance Marketing.""","B2B Services / Agency","Marketing Services / Professional Services","POTENTIAL_BUYER","POSSIBLE_FIT","APPROVE","CORRECT","POTENTIAL_BUYER","HIGH","POSSIBLE_FIT","MEDIUM","GROUND_TRUTH_CONFIRMED","B2B lead-generation agency and commercially capable of buying AI Visibility/AEO/GEO. Evidence does not establish India headquarters/location strongly enough to call LIKELY_FIT, so POSSIBLE_FIT is retained.","Anil Gorraladaku","2026-09-02","JYRA_MARKET_QUALITY_GOLD_V1"
"b45eeee7-aab7-412f-b7e7-4c95c999fa14","DIGIPUUSH","Leadgeneron","leadgeneron.com","CORRECT","Leadgeneron is a lead generation company offering account-based marketing, appointment setting, outsourced sales, and social media marketing.","""Lead Generation, Account Based Marketing (ABM), Appointment Setting, Outsourced Sales, Sales Automation, Online Reputation Management, Social Media Marketing.""","B2B Services / Agency","IT Services and IT Consulting / Professional Services","POTENTIAL_BUYER","LIKELY_NOT_FIT","APPROVE","CORRECT","POTENTIAL_BUYER","HIGH","LIKELY_NOT_FIT","HIGH","GROUND_TRUTH_CONFIRMED","Potential buyer structurally, but fails mandatory India geography because it is US-based.","Anil Gorraladaku","2026-09-02","JYRA_MARKET_QUALITY_GOLD_V1"
"b7e9af09-ede7-46fb-baa1-cf2d9f3158bf","DIGIPUUSH","Leadzen.ai","leadzen.ai","CORRECT","Leadzen.ai is an AI-powered B2B lead generation and data intelligence platform that helps companies find verified prospects and automate outreach.","""AI SDR, Chrome Extension, LinkedIn Extension, Lead Generation Tools, Data Enrichment, B2B Contact Database.""","B2B SaaS","IT Services and IT Consulting / Software / SaaS","POTENTIAL_BUYER","LIKELY_FIT","APPROVE","CORRECT","POTENTIAL_BUYER","HIGH","LIKELY_FIT","HIGH","GROUND_TRUTH_CONFIRMED","India-based B2B SaaS/data-intelligence company with relevant website/content and strong structural fit for DigiPuush AI Visibility/AEO/GEO.","Anil Gorraladaku","2026-09-02","JYRA_MARKET_QUALITY_GOLD_V1"
"a96d5d08-cdd4-4970-b0e4-f85d569a3e75","DIGIPUUSH","Outbound System","outboundsystem.com","CORRECT","Outbound System is a B2B cold email and lead generation agency that provides fully managed cold email outreach and LinkedIn lead generation.","""Cold Email Outreach, LinkedIn Lead Generation, AI Calling.""","B2B Services / Agency","Marketing Services / Professional Services","POTENTIAL_BUYER","LIKELY_NOT_FIT","APPROVE","CORRECT","POTENTIAL_BUYER","HIGH","LIKELY_NOT_FIT","HIGH","GROUND_TRUTH_CONFIRMED","Potential buyer structurally, but fails mandatory India geography because it is US-based.","Anil Gorraladaku","2026-09-02","JYRA_MARKET_QUALITY_GOLD_V1"
"ada76ca1-a14b-48e4-8de6-e96498b23d95","DIGIPUUSH","OutPro","outpro.us","CORRECT","OutPro is a GTM execution partner for B2B SaaS companies, offering SDR-as-a-Service, GTM hiring, and intern models to build and execute go-to-market systems.","""SDR-as-a-Service, GTM Hiring, Intern Model, Outbound Strategy.""","B2B Services","Professional Services","POTENTIAL_BUYER","LIKELY_FIT","APPROVE","CORRECT","POTENTIAL_BUYER","HIGH","LIKELY_FIT","HIGH","GROUND_TRUTH_CONFIRMED","India-based B2B GTM/professional-services company with an established website/content foundation and strong structural fit for DigiPuush AI Visibility/AEO/GEO.","Anil Gorraladaku","2026-09-02","JYRA_MARKET_QUALITY_GOLD_V1"
"252b9ea5-ec55-49b5-8bf7-c514da6ca2cd","DIGIPUUSH","Partner Propel","partnerpropel.com","CORRECT","Partner Propel is a revenue architecture firm that designs and installs proprietary autonomous revenue infrastructure (AI SDRs and Ad Creators) for B2B companies.","""Autonomous Revenue Infrastructure, AI SDR, Ad Creator, Live Call Copilot, Signal-Based Sourcing.""","B2B Services / Build + License model","Professional Services / Technology","POTENTIAL_BUYER","LIKELY_NOT_FIT","APPROVE","CORRECT","POTENTIAL_BUYER","HIGH","LIKELY_NOT_FIT","HIGH","GROUND_TRUTH_CONFIRMED","Commercially capable of buying AI Visibility/AEO/GEO but fails the mandatory India geography requirement because it is US-based.","Anil Gorraladaku","2026-09-02","JYRA_MARKET_QUALITY_GOLD_V1"
"d2dd1f48-1b81-4149-a298-1dde2ae96ade","DIGIPUUSH","Pure Sales","puresales.io","CORRECT","Pure Sales is a dedicated sales partner and outbound sales agency for B2B SaaS and AI companies looking to expand their business in Europe.","""Outbound sales, qualified meeting generation.""","B2B Services","Professional Services","POTENTIAL_BUYER","INSUFFICIENT_DATA","APPROVE","CORRECT","POTENTIAL_BUYER","MEDIUM","INSUFFICIENT_DATA","MEDIUM","INSUFFICIENT","Potential buyer structurally, but available evidence does not sufficiently establish mandatory geography and website/content depth. Do not infer missing information as failure.","Anil Gorraladaku","2026-09-02","JYRA_MARKET_QUALITY_GOLD_V1"
"4233dfdf-a2ac-48de-8347-91759eb415de","DIGIPUUSH","RevyGo","revygo.com","CORRECT","RevyGo is a B2B lead generation and appointment setting agency that builds and operates outbound sales systems.","""Appointment Setting, Lead List Building, LinkedIn Outreach, Cold Email Outreach, Cold & Intent Calling, CRM services.""","B2B Services","Professional Services","POTENTIAL_BUYER","LIKELY_NOT_FIT","APPROVE","CORRECT","POTENTIAL_BUYER","HIGH","LIKELY_NOT_FIT","HIGH","GROUND_TRUTH_CONFIRMED","Potential buyer structurally, but fails mandatory India geography because it is based in Lithuania.","Anil Gorraladaku","2026-09-02","JYRA_MARKET_QUALITY_GOLD_V1"
"60fafac0-f176-4d81-8215-847e1026ba74","DIGIPUUSH","SalesGig","salesgig.com","CORRECT","SalesGig is an outsourced sales development firm providing B2B lead generation, appointment setting, and fractional outbound sales development.","""B2B Lead Generation, Appointment Setting, Outsourced Sales Development.""","B2B Services","Professional Services","POTENTIAL_BUYER","LIKELY_NOT_FIT","APPROVE","CORRECT","POTENTIAL_BUYER","HIGH","LIKELY_NOT_FIT","HIGH","GROUND_TRUTH_CONFIRMED","Potential buyer structurally, but fails mandatory India geography because it is US-based.","Anil Gorraladaku","2026-09-02","JYRA_MARKET_QUALITY_GOLD_V1"
